tarih,istasyon,sicaklik_ort_c,bagil_nem_ort_yuzde,yagis_toplam_mm,basinc_ort_hpa,ruzgar_u_ort_ms,ruzgar_v_ort_ms,ruzgar_hizi_ort_ms,saat_sayisi
2024-01-01,alanya,9.787343,87.56937,1.827526138754365,957.17096,-1.039128,-0.12389755,1.6382736,24
2024-01-02,alanya,11.040843,90.417656,15.387410065159202,955.58075,-1.4011415,0.6314984,1.7122546,24
2024-01-03,alanya,11.18217,82.94645,1.170980918686837,954.07544,-0.5111529,-0.126429,1.2529737,24
2024-01-04,alanya,11.445363,88.648865,10.258883296046406,952.65576,-1.1714491,0.72083837,1.4572029,24
2024-01-05,alanya,12.545685,83.17797,7.757559418678284,952.94727,0.1507899,-0.33971885,1.4747597,24
2024-01-06,alanya,11.0998125,71.653145,0.0009715556643641321,958.28876,-1.0758297,-0.40637624,1.794981,24
2024-01-07,alanya,11.610118,77.83187,4.952448420226574,953.9382,-2.1805546,1.7123976,2.9831543,24
2024-01-08,alanya,11.730998,91.153625,17.545336857438087,952.21875,-0.78047115,1.5458117,1.8856262,24
2024-01-09,alanya,10.454366,90.381165,23.661306127905846,949.65674,-1.4398174,1.2460871,2.0426805,24
2024-01-10,alanya,8.571797,86.68435,9.261628612875938,947.8889,-0.9644992,-0.009397428,1.2851552,24
2024-01-11,alanya,9.0503435,74.69465,0.01948513090610504,949.7049,-0.19967206,-0.5337403,1.3811668,24
2024-01-12,alanya,8.857188,78.345726,1.0696053504943848,946.06757,-0.23392868,-0.44207835,1.2183387,24
2024-01-13,alanya,6.9432883,67.65003,0.0027418136596679688,945.03986,-1.0138906,-1.2537341,1.8924664,24
2024-01-14,alanya,6.6928506,55.391933,0.0008642672923997452,949.58,-1.0519606,-0.7748731,1.8933586,24
2024-01-15,alanya,7.999817,79.540726,6.559938192424397,954.3794,-1.202273,0.57981616,1.677825,24
2024-01-16,alanya,10.122792,93.720764,59.999823570251465,954.0179,-0.023681244,2.35966,2.5024054,24
2024-01-17,alanya,11.6649475,86.1753,8.946093963459134,953.98553,-0.7113907,0.44159564,1.4756342,24
2024-01-18,alanya,10.4328,87.19706,1.0833382839336991,957.23773,-1.0986614,0.48905504,1.5474056,24
2024-01-19,alanya,11.163157,91.39569,17.43599772453308,956.1967,-1.2013885,0.94535446,1.8691493,24
2024-01-20,alanya,12.26241,82.525215,1.6558468341827393,956.01196,-1.7723392,0.9262986,2.190925,24
2024-01-21,alanya,10.33551,81.33283,6.2420666217803955,953.3724,-1.6579499,-0.65271336,1.8970104,24
2024-01-22,alanya,9.469747,59.43217,0.002595061232568696,952.02997,-2.408102,-2.6493034,3.5823896,24
2024-01-23,alanya,9.292104,60.2681,0.0008512009799233056,952.3193,-0.7734198,-1.3771948,2.3987958,24
2024-01-24,alanya,7.93986,57.016453,0.0,952.6226,-0.9207136,-1.4177946,2.0426512,24
2024-01-25,alanya,7.742096,70.37741,0.03998279498773627,952.2354,-0.92301875,-0.25985146,1.5604545,24
2024-01-26,alanya,7.2891946,69.83367,6.997257460170658,948.22626,0.12618764,-1.5105114,1.7322065,24
2024-01-27,alanya,5.286123,56.26412,0.0002086162567138672,951.87335,-0.25703683,-2.0462403,2.1474369,24
2024-01-28,alanya,5.2094827,60.113537,0.07751882367301732,954.3973,-0.7721341,-0.71036404,1.728774,24
2024-01-29,alanya,5.1846313,54.52629,0.1515537514933385,954.668,-1.3926712,-1.4210876,2.023125,24
2024-01-30,alanya,4.3070374,61.86816,7.371199033514131,951.8814,-1.2576351,-1.8022232,2.2510636,24
2024-01-31,alanya,5.649119,65.57707,1.6294007073156536,953.89136,-0.83014107,-1.5147413,1.7607971,24
2024-01-01,gazipasa,12.596344,86.16599,0.932115304749459,992.5943,-1.2361292,0.4839109,1.7194948,24
2024-01-02,gazipasa,13.021393,89.72299,13.3084895205684,991.04614,-1.0823141,1.0125815,1.6249532,24
2024-01-03,gazipasa,14.489217,76.55427,2.3234665859490633,989.3396,0.30989203,-0.3175911,1.0322963,24
